#	Ghost
#
0x80	0x0493	# 
0x81	0x04d9	# 
0x82	0x0451	# 
0x83	0x0456	# 
0x84	0x0457	# 
0x85	0x0458	# 
0x86	0x049d	# 
0x87	0x04e9	# 
0x88	0x045e	# 
0x89	0x04af	# 
0x8a	0x04fd	# 
0x8b	0x04c8	# 
0x8c	0x04b9	# 
0x8d	0x04b7	# 
0x8e	0x0454	# 
0x8f	0x00a3	# 
0x90	0x0492	# 
0x91	0x04d8	# 
0x92	0x0401	# 
0x93	0x0406	# 
0x94	0x0407	# 
0x95	0x0408	# 
0x96	0x049c	# 
0x97	0x04e8	# 
0x98	0x040e	# 
0x99	0x04ae	# 
0x9a	0x04fc	# 
0x9b	0x04c7	# 
0x9c	0x04b8	# 
0x9d	0x04b6	# 
0x9e	0x0404	# 
0x9f	0x042a	# 
0xa0	0x0020	# 
0xa1	0x0021	# 
0xa2	0x0022	# 
0xa3	0x0023	# 
0xa4	0x00a4	# 
0xa5	0x0025	# 
0xa6	0x0026	# 
0xa7	0x0027	# 
0xa8	0x0028	# 
0xa9	0x0029	# 
0xaa	0x002a	# 
0xab	0x002b	# 
0xac	0x002c	# 
0xad	0x002d	# 
0xae	0x002e	# 
0xaf	0x002f	# 
0xb0	0x0030	# 
0xb1	0x0031	# 
0xb2	0x0032	# 
0xb3	0x0033	# 
0xb4	0x0034	# 
0xb5	0x0035	# 
0xb6	0x0036	# 
0xb7	0x0037	# 
0xb8	0x0038	# 
0xb9	0x0039	# 
0xba	0x003a	# 
0xbb	0x003b	# 
0xbc	0x003c	# 
0xbd	0x003d	# 
0xbe	0x003e	# 
0xbf	0x003f	# 
0xc0	0x044e	# 
0xc1	0x0430	# 
0xc2	0x0431	# 
0xc3	0x0446	# 
0xc4	0x0434	# 
0xc5	0x0435	# 
0xc6	0x0444	# 
0xc7	0x0433	# 
0xc8	0x0445	# 
0xc9	0x0438	# 
0xca	0x0439	# 
0xcb	0x043a	# 
0xcc	0x043b	# 
0xcd	0x043c	# 
0xce	0x043d	# 
0xcf	0x043e	# 
0xd0	0x043f	# 
0xd1	0x044f	# 
0xd2	0x0440	# 
0xd3	0x0441	# 
0xd4	0x0442	# 
0xd5	0x0443	# 
0xd6	0x0436	# 
0xd7	0x0432	# 
0xd8	0x044c	# 
0xd9	0x044b	# 
0xda	0x0437	# 
0xdb	0x0448	# 
0xdc	0x044d	# 
0xdd	0x0449	# 
0xde	0x0447	# 
0xdf	0x044a	# 
0xe0	0x042e	# 
0xe1	0x0410	# 
0xe2	0x0411	# 
0xe3	0x0426	# 
0xe4	0x0414	# 
0xe5	0x0415	# 
0xe6	0x0424	# 
0xe7	0x0413	# 
0xe8	0x0425	# 
0xe9	0x0418	# 
0xea	0x0419	# 
0xeb	0x041a	# 
0xec	0x041b	# 
0xed	0x041c	# 
0xee	0x041d	# 
0xef	0x041e	# 
0xf0	0x041f	# 
0xf1	0x042f	# 
0xf2	0x0420	# 
0xf3	0x0421	# 
0xf4	0x0422	# 
0xf5	0x0423	# 
0xf6	0x0416	# 
0xf7	0x0412	# 
0xf8	0x042c	# 
0xf9	0x042b	# 
0xfa	0x0417	# 
0xfb	0x0428	# 
0xfc	0x042d	# 
0xfd	0x0429	# 
0xfe	0x0427	# 
0xff	0x2205	# 
