#	Czech (Kamenický)
#
0x80	0x010c	# 
0x81	0x00fc	# 
0x82	0x00e9	# 
0x83	0x010f	# 
0x84	0x00e4	# 
0x85	0x010e	# 
0x86	0x0164	# 
0x87	0x010d	# 
0x88	0x011b	# 
0x89	0x011a	# 
0x8a	0x0139	# 
0x8b	0x00cd	# 
0x8c	0x013e	# 
0x8d	0x013a	# 
0x8e	0x00c4	# 
0x8f	0x00c1	# 
0x90	0x00c9	# 
0x91	0x017e	# 
0x92	0x017d	# 
0x93	0x00f4	# 
0x94	0x00f6	# 
0x95	0x00d3	# 
0x96	0x016f	# 
0x97	0x00da	# 
0x98	0x00fd	# 
0x99	0x00d6	# 
0x9a	0x00dc	# 
0x9b	0x0160	# 
0x9c	0x013d	# 
0x9d	0x00dd	# 
0x9e	0x0158	# 
0x9f	0x0165	# 
0xa0	0x00e1	# 
0xa1	0x00ed	# 
0xa2	0x00f3	# 
0xa3	0x00fa	# 
0xa4	0x0148	# 
0xa5	0x0147	# 
0xa6	0x016e	# 
0xa7	0x00d4	# 
0xa8	0x0161	# 
0xa9	0x0159	# 
0xaa	0x0155	# 
0xab	0x0154	# 
0xac	0x00bc	# 
0xad	0x00a7	# 
0xae	0x00ab	# 
0xaf	0x00bb	# 
0xb0	0x2591	# 
0xb1	0x2592	# 
0xb2	0x2593	# 
0xb3	0x2502	# 
0xb4	0x2524	# 
0xb5	0x2561	# 
0xb6	0x2562	# 
0xb7	0x2556	# 
0xb8	0x2555	# 
0xb9	0x2563	# 
0xba	0x2551	# 
0xbb	0x2557	# 
0xbc	0x255d	# 
0xbd	0x255c	# 
0xbe	0x255b	# 
0xbf	0x2510	# 
0xc0	0x2514	# 
0xc1	0x2534	# 
0xc2	0x252c	# 
0xc3	0x251c	# 
0xc4	0x2500	# 
0xc5	0x253c	# 
0xc6	0x255e	# 
0xc7	0x255f	# 
0xc8	0x255a	# 
0xc9	0x2554	# 
0xca	0x2569	# 
0xcb	0x2566	# 
0xcc	0x2560	# 
0xcd	0x2550	# 
0xce	0x256c	# 
0xcf	0x2567	# 
0xd0	0x2568	# 
0xd1	0x2564	# 
0xd2	0x2565	# 
0xd3	0x2559	# 
0xd4	0x2558	# 
0xd5	0x2552	# 
0xd6	0x2553	# 
0xd7	0x256b	# 
0xd8	0x256a	# 
0xd9	0x2518	# 
0xda	0x250c	# 
0xdb	0x2588	# 
0xdc	0x2584	# 
0xdd	0x258c	# 
0xde	0x2590	# 
0xdf	0x2580	# 
0xe0	0x03b1	# 
0xe1	0x00df	# 
0xe2	0x0393	# 
0xe3	0x03c0	# 
0xe4	0x03a3	# 
0xe5	0x03c3	# 
0xe6	0x00b5	# 
0xe7	0x03c4	# 
0xe8	0x03a6	# 
0xe9	0x0398	# 
0xea	0x03a9	# 
0xeb	0x03b4	# 
0xec	0x221e	# 
0xed	0x03c6	# 
0xee	0x03b5	# 
0xef	0x2229	# 
0xf0	0x2261	# 
0xf1	0x00b1	# 
0xf2	0x2265	# 
0xf3	0x2264	# 
0xf4	0x2320	# 
0xf5	0x2321	# 
0xf6	0x00f7	# 
0xf7	0x2248	# 
0xf8	0x00b0	# 
0xf9	0x2219	# 
0xfa	0x00b7	# 
0xfb	0x221a	# 
0xfc	0x207f	# 
0xfd	0x00b2	# 
0xfe	0x25a0	# 
0xff	0x00a0	# 
