0x80	0x250c
0x81	0x2510
0x82	0x2514
0x83	0x2518
0x84	0x2502
0x85	0x2500
0x86	0x251c
0x87	0x2524
0x88	0x2534
0x89	0x252c
0x8a	0x253c
0x8b	0x2588
0x8c	0x2190
0x8d	0x2191
0x8e	0x2192
0x8f	0x2193
0x90	0x0e50
0x91	0x0e51
0x92	0x0e52
0x93	0x0e53
0x94	0x0e54
0x95	0x0e55
0x96	0x0e56
0x97	0x0e57
0x98	0x0e58
0x99	0x0e59
0x9a	0x0e03
0x9b	0x0e05
0x9c	0x0e23
0x9d	0x0e32
0x9e	0x0e44
0x9f	0x0e40
0xa0	0x00a0
0xa1	0x0e01
0xa2	0x0e02
0xa3	0x0e04
0xa4	0x0e06
0xa5	0x0e07
0xa6	0x0e08
0xa7	0x0e09
0xa8	0x0e0a
0xa9	0x0e0b
0xaa	0x0e0c
0xab	0x0e0d
0xac	0x0e0e
0xad	0x0e0f
0xae	0x0e10
0xaf	0x0e11
0xb0	0x0e12
0xb1	0x0e13
0xb2	0x0e14
0xb3	0x0e15
0xb4	0x0e16
0xb5	0x0e17
0xb6	0x0e18
0xb7	0x0e19
0xb8	0x0e1a
0xb9	0x0e1b
0xba	0x0e1c
0xbb	0x0e1d
0xbc	0x0e1e
0xbd	0x0e1f
0xbe	0x0e20
0xbf	0x0e21
0xc0	0x0e22
0xc1	0x0e23
0xc2	0x0e24
0xc3	0x0e25
0xc4	0x0e27
0xc5	0x0e28
0xc6	0x0e29
0xc7	0x0e2a
0xc8	0x0e2b
0xc9	0x0e2c
0xca	0x0e2d
0xcb	0x0e2e
0xcc	0x0e30
0xcd	0x0e26
0xce	0x0e32
0xcf	0x0e33
0xd0	0x0e40
0xd1	0x0e41
0xd2	0x0e42
0xd3	0x0e43
0xd4	0x0e44
0xd5	0x0e46
0xd6	0x0e2f
0xd7	0x0e38
0xd8	0x0e39
0xd9	0x0e34
0xda	0x0e35
0xdb	0x0e36
0xdc	0x0e37
0xdd	0x0e4a
0xde	0x0e4d
0xdf	0x0e47
0xe0	0x0e48
0xe1	0x0e49
0xe2	0x0e4a
0xe3	0x0e4b
0xe4	0x0e4c
0xe5	
0xe6	
0xe7	
0xe8	
0xe9	
0xea	
0xeb	0x0e30
0xec	
0xed	
0xee	
0xef	
0xf0	
0xf1	
0xf2	
0xf3	
0xf4	
0xf5	
0xf6	
0xf7	
0xf8	
0xf9	
0xfa	
0xfb	
0xfc	
0xfd	
0xfe	
0xff	0x00a0
